"url","price","stars"
"/dp/B07X9W8CBP/?coliid=I2QQPM0PVUUG2E&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,386.14
","4.7"
"/dp/B08WFD42G5/?coliid=I2PVJ8E8MH1GDI&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.6"
"/dp/B07RMC5BRL/?coliid=IHDYM0PH7FV4Y&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,256.86
","4.6"
"/dp/0786966831/?coliid=I3MOWL0D1Z9ZNF&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$793.42
","4.8"
"/dp/B088M9NCD2/?coliid=I3L5U97X8WI0QQ&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$294.78
","4.5"
"/dp/B00Z05JMKO/?coliid=I2U5RCZLN09C7W&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$299.00
","4.7"
"/dp/B08DSTJWK5/?coliid=I3YNLL3FQM09D&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,199.00
","4.4"
"/dp/B07ZDVXWPN/?coliid=I14MROZEUZ3ZSD&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B08D6YXW6T/?coliid=I3H5KD1SG6MJ1P&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B07ZDVYMST/?coliid=I1BYWKK5WHV3HA&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B07PRBRD5K/?coliid=I30E1NHBTZXVAC&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$501.18
","4.4"
"/dp/B06XYKVPLS/?coliid=I64PHCIZ1S6I8&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B0117RGG8E/?coliid=I30WBOGCA65Y70&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$5,299.00
","4.7"
"/dp/B07B83DGMV/?coliid=I11BZ69ZRTKKXR&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,098.12
","4.6"
"/dp/B003D66TXA/?coliid=I3KSV5LZBJLK7A&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,719.00
","4.6"
"/dp/B00XAZCTNS/?coliid=I1CLEDE4LBEK8N&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B08DG196CC/?coliid=INZA2R76LW9S9&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$35,999.00
","4.4"
"/dp/B092CWVNGJ/?coliid=I2UJSQOWI3WU9V&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$38,799.85
",""
"/dp/B08ZLC661T/?coliid=I2EQZFUTP8LGEO&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B08BWQYNYQ/?coliid=I2MD55L055I30L&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.6"
"/dp/B0845Y1FRN/?coliid=I29JZ3WQ86YEH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$12,934.66
","4.1"
"/dp/B083CN3DXJ/?coliid=I5OLGL6LWXBEH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,685.00
","3.3"
"/dp/6073137052/?coliid=I100QLTBDGLQYY&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.6"
"/dp/B07GVG3KQS/?coliid=I1VHSXDKN28WX4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$4,364.55
","4.7"
"/dp/B08C72V1LB/?coliid=I2O5LDNNP0DUI5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,517.81
","4.4"
"/dp/B08HYFB8QW/?coliid=I2TV6FT8CJM1V5&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$549.99
","5.0"
"/dp/B08R5JSYZQ/?coliid=I1RJ5XCVSRQXPN&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$654.19
",""
"/dp/B08KSB1T54/?coliid=I2YLNZF94S5F9F&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,095.80
",""
"/dp/B08ML7Y585/?coliid=I37FPS49UMPO49&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$407.08
",""
"/dp/B094FNL4VF/?coliid=IZ396II1OOACG&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$668.06
",""
"/dp/B08FC6C75Y/?coliid=I23K54P95FYES3&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B07JYC9BW8/?coliid=I1C5AC7OGY1DFN&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.5"
"/dp/B092C58ZNX/?coliid=I2RV17FVQHE1CO&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","5.0"
"/dp/B08GGP4VVB/?coliid=I11CRFXNM1Z9II&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.3"
"/dp/B084RJGKRR/?coliid=I2BW85GQI31QKM&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,146.41
","5.0"
"/dp/B07T8FPVLY/?coliid=IKHJ99CSU7WLD&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,079.00
","5.0"
"/dp/B01N0XDCFM/?coliid=I3NV697RXLX41P&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","5.0"
"/dp/B072FRQZ65/?coliid=I2ZQYJ9D67KA6J&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.1"
"/dp/B07PHQ9MH9/?coliid=I2L334LB0MG74L&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.6"
"/dp/B07MQBZYZQ/?coliid=I1NCKFQHMVKHKI&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$1,345.56
","4.1"
"/dp/B08NTQM12N/?coliid=I1JINTO1XNMBB4&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$2,256.61
","4.8"
"/dp/B07HWF752Z/?coliid=I20DANFYPK47PH&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","
$598.00
","4.3"
"/dp/B076KRDRQG/?coliid=ILBIQ6JBT5M6B&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B0721GGGS9/?coliid=I541XJ24WK747&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.8"
"/dp/B01IH5O186/?coliid=I2Z9OWQR0MRBAS&colid=JQK192QOJWAT&psc=1&ref_=lv_vv_lig_dp_it","","4.7"
"/dp/B01IFJBQ1E/?coliid=IAYT7UO98HQCZ&colid=JQK192QOJWAT&psc=0&ref_=lv_vv_lig_dp_it","","4.8"
